  55,    44982, -8520,  9432,  -893,    19,   -59,    83,   -22,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  56,    45815, -9790,  7961,  1833,     4,   -72,    73,    -1,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  57,    46648,-10592,  6282,  4302,    -8,   -79,    57,    21,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  58,    47481,-10525,  3840,  6670,   -15,   -83,    41,    43,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  59,    48314, -9491,   928,  8542,   -21,   -82,    21,    59,    -1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  60,    49147, -8047, -1790,  9828,    -9,   -72,     1,    68,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  61,    49980, -6361, -4239, 10605,     5,   -55,   -23,    75,    -2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  62,    50813, -3870, -6623, 10493,     0,   -39,   -43,    81,    -1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  63,    51646,  -896, -8540,  9436,     0,   -21,   -61,    79,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  64,    52479,  1828, -9832,  7996,    -9,     0,   -73,    69,    -4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  65,    53312,  4265,-10586,  6303,   -17,    23,   -79,    54,    -2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  66,    54145,  6640,-10503,  3839,   -24,    43,   -85,    39,    -2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  67,    54978,  8519, -9428,   889,   -20,    60,   -82,    21,    -1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  68,    55811,  9793, -7961, -1837,    -5,    70,   -72,     2,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  69,    56644, 10592, -6282, -4305,     5,    79,   -58,   -22,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  70,    57477, 10530, -3835, -6675,    20,    83,   -42,   -41,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  71,    58310,  9489,  -925, -8543,    21,    80,   -23,   -60,    -3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  72,    59143,  8047,  1784, -9829,     3,    70,     1,   -69,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  73,    59976,  6365,  4229,-10602,    -7,    55,    23,   -75,     3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  74,    60809,  3874,  6617,-10491,     0,    40,    45,   -81,     5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  75,    61642,   896,  8539, -9437,    -2,    22,    61,   -80,     4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  76,    62475, -1828,  9829, -7994,     8,    -1,    71,   -69,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  77,    63308, -4269, 10588, -6297,    22,   -23,    78,   -54,     1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  78,    64141, -6648, 10508, -3834,    27,   -44,    83,   -40,     0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  79,    64974, -8521,  9432,  -893,    18,   -59,    83,   -22,     2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
